GoodsID,rDate,TotalQty,TotalAmt,year,month
10014,20231022,1.0,17.59,2024,1
10081,20231025,1.0,8.66,2024,1
10074,20231024,1.0,35.4,2024,1
10000,20231016,1.0,11.1,2024,1
10000,20231101,1.0,11.1,2024,1
10057,20231012,1.0,12.33,2024,1
10114,20231016,1.0,24.38,2024,1
10000,20231030,1.0,11.1,2024,1
10028,20231102,1.0,205.95,2024,1
10095,20231011,2.0,61.02,2024,1
10078,20231023,13.0,13.26,2024,1
10103,20231027,1.0,24.94,2024,1
10002,20231017,1.0,13.72,2024,1
10069,20231102,3.0,23.4,2024,1
10038,20231102,1.0,114.02,2024,1
10005,20231101,1.0,19.64,2024,1
10078,20231014,12.0,12.24,2024,1
10078,20231004,9.0,9.18,2024,1
10060,20231011,1.0,84.32,2024,1
10095,20231021,1.0,30.51,2024,1
10046,20231102,1.0,56.34,2024,1
10064,20231029,1.0,15.81,2024,1
10111,20231023,1.0,8.81,2024,1
10039,20231025,1.0,44.85,2024,1
10013,20231022,1.0,0.0,2024,1
10014,20231019,4.0,70.36,2024,1
10086,20231010,1.0,15.79,2024,1
10055,20231007,1.0,0.0,2024,1
10061,20231025,1.0,17.79,2024,1
10000,20231011,1.0,11.1,2024,1
10076,20231012,280.0,0.0,2024,1
10086,20231023,1.0,15.79,2024,1
10014,20231013,1.0,17.59,2024,1
10085,20231023,1.0,54.34,2024,1
10044,20231029,1.0,38.52,2024,1
10110,20231031,2.0,41.26,2024,1
10099,20231013,1.0,0.0,2024,1
10012,20231007,1.0,0.0,2024,1
10005,20231012,1.0,19.64,2024,1
10067,20231101,1.0,118.88,2024,1
10106,20231030,1.0,27.43,2024,1
10069,20231013,1.0,7.8,2024,1
10043,20231015,1.0,5.09,2024,1
10027,20231102,1.0,138.16,2024,1
10010,20231030,1.0,122.33,2024,1
10076,20231008,260.0,0.0,2024,1
10000,20231012,3.0,33.3,2024,1
10078,20231102,13.0,13.26,2024,1
10078,20231015,15.0,15.3,2024,1
10076,20231011,279.0,0.0,2024,1
10069,20231028,1.0,7.8,2024,1
10014,20231028,1.0,17.59,2024,1
10084,20231024,1.0,39.65,2024,1
10032,20231015,1.0,18.61,2024,1
10080,20231017,1.0,10.66,2024,1
10076,20231018,371.0,0.0,2024,1
10078,20231017,12.0,12.24,2024,1
10007,20231007,1.0,43.46,2024,1
10112,20231020,1.0,6.46,2024,1
10076,20231021,273.0,0.0,2024,1
10078,20231005,16.0,16.32,2024,1
10095,20231030,1.0,30.51,2024,1
10076,20231101,475.0,0.0,2024,1
10076,20231026,309.0,0.0,2024,1
10057,20231024,2.0,24.66,2024,1
10076,20231030,271.0,0.0,2024,1
10038,20231003,1.0,114.02,2024,1
10069,20231003,1.0,7.8,2024,1
10034,20231022,1.0,13.83,2024,1
10001,20231031,1.0,38.05,2024,1
10050,20231006,2.0,26.4,2024,1
10065,20231022,1.0,15.32,2024,1
10099,20231029,1.0,0.0,2024,1
10000,20231013,12.0,133.2,2024,1
10014,20231003,2.0,35.18,2024,1
10096,20231029,1.0,54.79,2024,1
10007,20231029,1.0,43.46,2024,1
10057,20231011,1.0,12.33,2024,1
10102,20231026,1.0,13.6,2024,1
10000,20231008,3.0,33.3,2024,1
10111,20231029,1.0,8.81,2024,1
