GoodsID,ProductCode,Barcode,Name,Note,CurrStock,RetailPrice,LastInCost,AvgCost,Category,InboundLocation,Supplier
10000,SKU-82807-TN,1657262849879,TYPE-VR10,,62,11.1,4.08,4.08,CAT-0013,LOC-0002,Supplier-0040
10001,SKU-74167-IO,7694531473797,TYPE-IV33,,12,38.05,13.17,13.55,CAT-0003,LOC-0002,Supplier-0008
10002,SKU-43426-YY,9650752735456,TYPE-FL18,,26,13.72,4.69,4.69,CAT-0074,LOC-0002,Supplier-0008
10003,SKU-17979-ZI,4948083136789,TYPE-BF60,,8,10.79,3.24,3.24,CAT-0074,LOC-0002,Supplier-0008
10004,SKU-86805-SZ,3777014363496,TYPE-GM33,,12,8.38,2.47,2.59,CAT-0027,LOC-0002,Supplier-0008
10005,SKU-89113-QQ,5788568557444,TYPE-MT08,,12,19.64,7.14,7.19,CAT-0066,LOC-0002,Supplier-0008
10006,SKU-52909-PR,4313518233744,TYPE-OC86,,2,395.4,156.39,156.39,CAT-0047,LOC-0002,Supplier-0024
10007,SKU-65610-GQ,9894134352408,TYPE-ZA94,,9,43.46,14.49,14.49,CAT-0062,LOC-0002,Supplier-0024
10008,SKU-38889-SK,8240084271091,TYPE-VR26,,0,109.81,33.2,34.53,CAT-0047,LOC-0002,Supplier-0024
10009,SKU-37567-XR,4777520471165,TYPE-WV23,,9,77.43,24.5,27.36,CAT-0047,LOC-0002,Supplier-0024
10010,SKU-98250-EG,7190229413187,TYPE-YG11,,3,122.33,41.73,47.29,CAT-0047,LOC-0002,Supplier-0024
10011,SKU-46112-WT,6999386774961,TYPE-MQ55,,6,30.44,10.07,10.16,CAT-0009,LOC-0002,Supplier-0027
10014,SKU-10512-VP,4990913341238,TYPE-KM95,,-72,17.59,9.38,9.38,CAT-0026,LOC-0003,Supplier-0041
10016,SKU-73622-OQ,2812067974037,TYPE-OG41,,-3,29.63,9.2,9.2,CAT-0007,LOC-0003,Supplier-0010
10017,SKU-66093-CL,4471349361835,TYPE-DO64,,-2,32.2,7.43,7.43,CAT-0007,LOC-0003,Supplier-0010
10018,SKU-66033-RW,2421024994713,TYPE-XW52,,983,50.9,16.29,16.29,CAT-0064,LOC-0003,Supplier-0010
10019,SKU-19182-XU,7464887719067,TYPE-SR34,,983,36.84,12.0,12.0,CAT-0023,LOC-0003,Supplier-0010
10021,SKU-59696-LH,5940139904907,TYPE-KD83,,3,177.06,58.77,58.77,CAT-0036,LOC-0003,Supplier-0015
10023,SKU-49912-UH,2787429671759,TYPE-RU83,,2,288.15,0.0,0.0,CAT-0026,LOC-0004,Supplier-0061
10024,SKU-34125-SJ,6551256746807,TYPE-CZ03,,-1,187.82,105.58,105.58,CAT-0026,LOC-0004,Supplier-0061
10025,SKU-86692-KY,7154516808766,TYPE-RE56,,2,148.36,83.4,62.55,CAT-0026,LOC-0004,Supplier-0061
